
****** PrimeSim HSPICE -- W-2024.09-SP2-2 linux64 (Apr 30 2025 9758346) ******
  
 * hspice options

 ****** circuit name directory
 circuit number to circuit name directory
   number circuitname                     definition         multiplier
        0 main circuit
        1 xnmos.                          abnmos             1.00 
        2 xnmos.xm1.                      sky130_fd_pr__nfet_01v8
                                                                 1.00 
 ******  
 * hspice options

 
 *****************************************************************
 ******  option summary
 ******
 runlvl  = 5         bypass  = 2.0000    
  Opening plot unit= 15
 file=nfetdc.pa0

 ******
 * hspice options

 ****** dc transfer curves tnom=  25.000 temp=  25.000 ******
x

 volt         voltage    current    current    current   
             ng         vg_sense   vd_sense   vs_sense   
    0.          0.         0.         2.0112p  201.0229f 
    1.80000m    1.8000m    0.         2.0202p  210.0595f 
    3.60000m    3.6000m    0.         2.0297p  219.5023f 
    5.40000m    5.4000m    0.         2.0395p  229.3696f 
    7.20000m    7.2000m    0.         2.0499p  239.6804f 
    9.00000m    9.0000m    0.         2.0606p  250.4547f 
   10.80000m   10.8000m    0.         2.0719p  261.7132f 
   12.60000m   12.6000m    0.         2.0837p  273.4779f 
   14.40000m   14.4000m    0.         2.0960p  285.7714f 
   16.20000m   16.2000m    0.         2.1088p  298.6175f 
   18.00000m   18.0000m    0.         2.1223p  312.0410f 
   19.80000m   19.8000m    0.         2.1363p  326.0679f 
   21.60000m   21.6000m    0.         2.1510p  340.7253f 
   23.40000m   23.4000m    0.         2.1663p  356.0415f 
   25.20000m   25.2000m    0.         2.1823p  372.0462f 
   27.00000m   27.0000m    0.         2.1991p  388.7703f 
   28.80000m   28.8000m    0.         2.2165p  406.2461f 
   30.60000m   30.6000m    0.         2.2348p  424.5074f 
   32.40000m   32.4000m    0.         2.2539p  443.5896f 
   34.20000m   34.2000m    0.         2.2739p  463.5295f 
   36.00000m   36.0000m    0.         2.2947p  484.3656f 
   37.80000m   37.8000m    0.         2.3165p  506.1382f 
   39.60000m   39.6000m    0.         2.3393p  528.8895f 
   41.40000m   41.4000m    0.         2.3631p  552.6634f 
   43.20000m   43.2000m    0.         2.3879p  577.5059f 
   45.00000m   45.0000m    0.         2.4139p  603.4650f 
   46.80000m   46.8000m    0.         2.4411p  630.5908f 
   48.60000m   48.6000m    0.         2.4694p  658.9359f 
   50.40000m   50.4000m    0.         2.4991p  688.5550f 
   52.20000m   52.2000m    0.         2.5300p  719.5053f 
   54.00000m   54.0000m    0.         2.5624p  751.8468f 
   55.80000m   55.8000m    0.         2.5962p  785.6418f 
   57.60000m   57.6000m    0.         2.6316p  820.9558f 
   59.40000m   59.4000m    0.         2.6685p  857.8570f 
   61.20000m   61.2000m    0.         2.7071p  896.4166f 
   63.00000m   63.0000m    0.         2.7474p  936.7094f 
   64.80000m   64.8000m    0.         2.7895p  978.8130f 
   66.60000m   66.6000m    0.         2.8336p    1.0228p 
   68.40000m   68.4000m    0.         2.8796p    1.0688p 
