# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-14
# source: nfetdc.cir
# timestamp: 2026-01-24T17:33:51Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,6.13488888e-14,3.33330698e-14,2.80158190e-14
1.00000000e-03,1.00000000e-03,-0.00000000e+00,6.23339244e-14,3.43176382e-14,2.80162862e-14
2.00000000e-03,2.00000000e-03,-0.00000000e+00,6.33783049e-14,3.53615233e-14,2.80167816e-14
3.00000000e-03,3.00000000e-03,-0.00000000e+00,6.44388588e-14,3.64215741e-14,2.80172847e-14
4.00000000e-03,4.00000000e-03,-0.00000000e+00,6.55312006e-14,3.75133978e-14,2.80178028e-14
5.00000000e-03,5.00000000e-03,-0.00000000e+00,6.66562831e-14,3.86379466e-14,2.80183365e-14
6.00000000e-03,6.00000000e-03,-0.00000000e+00,6.78150872e-14,3.97962010e-14,2.80188862e-14
7.00000000e-03,7.00000000e-03,-0.00000000e+00,6.90086236e-14,4.09891712e-14,2.80194523e-14
8.00000000e-03,8.00000000e-03,-0.00000000e+00,7.02379328e-14,4.22178974e-14,2.80200355e-14
9.00000000e-03,9.00000000e-03,-0.00000000e+00,7.15040870e-14,4.34834510e-14,2.80206361e-14
1.00000000e-02,1.00000000e-02,-0.00000000e+00,7.28081901e-14,4.47869355e-14,2.80212547e-14
1.10000000e-02,1.10000000e-02,-0.00000000e+00,7.41513793e-14,4.61294875e-14,2.80218918e-14
1.20000000e-02,1.20000000e-02,-0.00000000e+00,7.55348257e-14,4.75122777e-14,2.80225480e-14
1.30000000e-02,1.30000000e-02,-0.00000000e+00,7.69597356e-14,4.89365117e-14,2.80232239e-14
1.40000000e-02,1.40000000e-02,-0.00000000e+00,7.84273514e-14,5.04034313e-14,2.80239201e-14
1.50000000e-02,1.50000000e-02,-0.00000000e+00,7.99389526e-14,5.19143155e-14,2.80246371e-14
1.60000000e-02,1.60000000e-02,-0.00000000e+00,8.14958573e-14,5.34704817e-14,2.80253756e-14
1.70000000e-02,1.70000000e-02,-0.00000000e+00,8.30994228e-14,5.50732865e-14,2.80261363e-14
1.80000000e-02,1.80000000e-02,-0.00000000e+00,8.47510471e-14,5.67241274e-14,2.80269197e-14
1.90000000e-02,1.90000000e-02,-0.00000000e+00,8.64521702e-14,5.84244435e-14,2.80277266e-14
2.00000000e-02,2.00000000e-02,-0.00000000e+00,8.82042751e-14,6.01757174e-14,2.80285578e-14
2.10000000e-02,2.10000000e-02,-0.00000000e+00,9.00088893e-14,6.19794756e-14,2.80294138e-14
2.20000000e-02,2.20000000e-02,-0.00000000e+00,9.18675861e-14,6.38372906e-14,2.80302954e-14
2.30000000e-02,2.30000000e-02,-0.00000000e+00,9.37819856e-14,6.57507821e-14,2.80312035e-14
2.40000000e-02,2.40000000e-02,-0.00000000e+00,9.57537568e-14,6.77216180e-14,2.80321388e-14
2.50000000e-02,2.50000000e-02,-0.00000000e+00,9.77846186e-14,6.97515164e-14,2.80331022e-14
2.60000000e-02,2.60000000e-02,-0.00000000e+00,9.98763410e-14,7.18422467e-14,2.80340944e-14
2.70000000e-02,2.70000000e-02,-0.00000000e+00,1.02030748e-13,7.39956313e-14,2.80351163e-14
2.80000000e-02,2.80000000e-02,-0.00000000e+00,1.04249716e-13,7.62135473e-14,2.80361689e-14
2.90000000e-02,2.90000000e-02,-0.00000000e+00,1.06535181e-13,7.84979279e-14,2.80372530e-14
3.00000000e-02,3.00000000e-02,-0.00000000e+00,1.08889134e-13,8.08507641e-14,2.80383696e-14
3.10000000e-02,3.10000000e-02,-0.00000000e+00,1.11313626e-13,8.32741068e-14,2.80395196e-14
3.20000000e-02,3.20000000e-02,-0.00000000e+00,1.13810772e-13,8.57700680e-14,2.80407041e-14
3.30000000e-02,3.30000000e-02,-0.00000000e+00,1.16382747e-13,8.83408230e-14,2.80419241e-14
3.40000000e-02,3.40000000e-02,-0.00000000e+00,1.19031793e-13,9.09886125e-14,2.80431807e-14
3.50000000e-02,3.50000000e-02,-0.00000000e+00,1.21760219e-13,9.37157439e-14,2.80444749e-14
3.60000000e-02,3.60000000e-02,-0.00000000e+00,1.24570402e-13,9.65245939e-14,2.80458079e-14
