time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,6.13488888e-14,3.33330698e-14,2.80158190e-14
1.00000000e-08,1.80000000e-05,4.46266413e-12,-4.26315732e-13,5.43179187e-13,3.49316922e-12
2.00000000e-08,3.60000000e-05,4.46261696e-12,-4.26306392e-13,5.43209330e-13,3.49310124e-12
4.00000000e-08,7.20000000e-05,4.46248900e-12,-4.26288719e-13,5.43271593e-13,3.49292869e-12
8.00000000e-08,1.44000000e-04,4.46236108e-12,-4.26235426e-13,5.43369488e-13,3.49275617e-12
1.60000000e-07,2.88000000e-04,4.46197742e-12,-4.26146268e-13,5.43592549e-13,3.49223860e-12
3.20000000e-07,5.76000000e-04,4.46133867e-12,-4.25948442e-13,5.44013981e-13,3.49137625e-12
6.40000000e-07,1.15200000e-03,4.45993563e-12,-4.25563887e-13,5.44891942e-13,3.48947980e-12
1.28000000e-06,2.30400000e-03,4.45726721e-12,-4.24749377e-13,5.46655078e-13,3.48586276e-12
2.28000000e-06,4.10400000e-03,4.45301651e-12,-4.23416163e-13,5.49527301e-13,3.48007305e-12
3.28000000e-06,5.90400000e-03,4.44888906e-12,-4.21974904e-13,5.52503465e-13,3.47441069e-12
4.28000000e-06,7.70400000e-03,4.44470658e-12,-4.20441644e-13,5.55622146e-13,3.46864279e-12
5.28000000e-06,9.50400000e-03,4.44064764e-12,-4.18788728e-13,5.58857184e-13,3.46300173e-12
6.28000000e-06,1.13040000e-02,4.43653399e-12,-4.17031556e-13,5.62247817e-13,3.45725462e-12
7.28000000e-06,1.31040000e-02,4.43254422e-12,-4.15141793e-13,5.65768580e-13,3.45163384e-12
8.28000000e-06,1.49040000e-02,4.42850007e-12,-4.13134121e-13,5.69459443e-13,3.44590651e-12
9.28000000e-06,1.67040000e-02,4.42458018e-12,-4.10979448e-13,5.73295714e-13,3.44030501e-12
1.02800000e-05,1.85040000e-02,4.42060629e-12,-4.08691655e-13,5.77318180e-13,3.43459646e-12
1.12800000e-05,2.03040000e-02,4.41675705e-12,-4.06240810e-13,5.81503006e-13,3.42901323e-12
1.22800000e-05,2.21040000e-02,4.41285423e-12,-4.03639905e-13,5.85891884e-13,3.42332244e-12
1.32800000e-05,2.39040000e-02,4.40907649e-12,-4.00858070e-13,5.90461933e-13,3.41775649e-12
1.42800000e-05,2.57040000e-02,4.40524563e-12,-3.97907308e-13,5.95255852e-13,3.41208247e-12
1.52800000e-05,2.75040000e-02,4.40154031e-12,-3.94755706e-13,6.00251820e-13,3.40653279e-12
1.62800000e-05,2.93040000e-02,4.39778236e-12,-3.91414167e-13,6.05493653e-13,3.40087454e-12
1.72800000e-05,3.11040000e-02,4.39415045e-12,-3.87849618e-13,6.10960709e-13,3.39534012e-12
1.82800000e-05,3.29040000e-02,4.39046643e-12,-3.84071739e-13,6.16698046e-13,3.38969665e-12
1.92800000e-05,3.47040000e-02,4.38690901e-12,-3.80046164e-13,6.22686330e-13,3.38417651e-12
2.02800000e-05,3.65040000e-02,4.38330003e-12,-3.75781213e-13,6.28971999e-13,3.37854682e-12
2.12800000e-05,3.83040000e-02,4.37981824e-12,-3.71241084e-13,6.35537176e-13,3.37303998e-12
2.22800000e-05,4.01040000e-02,4.37628549e-12,-3.66432582e-13,6.42429831e-13,3.36742308e-12
2.32800000e-05,4.19040000e-02,4.37288055e-12,-3.61318309e-13,6.49633704e-13,3.36192853e-12
2.42800000e-05,4.37040000e-02,4.36942530e-12,-3.55903384e-13,6.57198471e-13,3.35632345e-12
2.52800000e-05,4.55040000e-02,4.36609852e-12,-3.50148632e-13,6.65109667e-13,3.35084022e-12
2.62800000e-05,4.73040000e-02,4.36272212e-12,-3.44057299e-13,6.73418863e-13,3.34524596e-12
2.72800000e-05,4.91040000e-02,4.35947490e-12,-3.37588234e-13,6.82113591e-13,3.33977308e-12
2.82800000e-05,5.09040000e-02,4.35617880e-12,-3.30742599e-13,6.91247527e-13,3.33418867e-12
2.92800000e-05,5.27040000e-02,4.35301262e-12,-3.23477044e-13,7.00810423e-13,3.32872515e-12
3.02800000e-05,5.45040000e-02,4.34979834e-12,-3.15790413e-13,7.10858294e-13,3.32314963e-12
3.12800000e-05,5.63040000e-02,4.34671479e-12,-3.07636912e-13,7.21383359e-13,3.31769451e-12
3.22800000e-05,5.81040000e-02,4.34358395e-12,-2.99012806e-13,7.32444233e-13,3.31212691e-12
3.32800000e-05,5.99040000e-02,4.34058469e-12,-2.89869583e-13,7.44035877e-13,3.30667924e-12
